,championId,pickTurn,teamId,metadata.matchId
0,111,1,100,LA1_1179639069
1,82,2,100,LA1_1179639069
2,33,3,100,LA1_1179639069
3,51,4,100,LA1_1179639069
4,157,5,100,LA1_1179639069
5,25,6,200,LA1_1179639069
6,84,7,200,LA1_1179639069
7,18,8,200,LA1_1179639069
8,11,9,200,LA1_1179639069
9,58,10,200,LA1_1179639069
10,122,1,100,LA1_1179635493
11,238,2,100,LA1_1179635493
12,51,3,100,LA1_1179635493
13,157,4,100,LA1_1179635493
14,82,5,100,LA1_1179635493
15,17,6,200,LA1_1179635493
16,11,7,200,LA1_1179635493
17,25,8,200,LA1_1179635493
18,67,9,200,LA1_1179635493
19,105,10,200,LA1_1179635493
20,157,1,100,LA1_1179611590
21,17,2,100,LA1_1179611590
22,104,3,100,LA1_1179611590
23,53,4,100,LA1_1179611590
24,67,5,100,LA1_1179611590
25,22,6,200,LA1_1179611590
26,82,7,200,LA1_1179611590
27,11,8,200,LA1_1179611590
28,711,9,200,LA1_1179611590
29,875,10,200,LA1_1179611590
30,67,1,100,LA1_1179596639
31,238,2,100,LA1_1179596639
32,254,3,100,LA1_1179596639
33,119,4,100,LA1_1179596639
34,23,5,100,LA1_1179596639
35,777,6,200,LA1_1179596639
36,63,7,200,LA1_1179596639
37,89,8,200,LA1_1179596639
38,157,9,200,LA1_1179596639
39,23,10,200,LA1_1179596639
40,9,1,100,LA1_1179572856
41,84,2,100,LA1_1179572856
42,63,3,100,LA1_1179572856
43,-1,4,100,LA1_1179572856
44,-1,5,100,LA1_1179572856
45,84,6,200,LA1_1179572856
46,39,7,200,LA1_1179572856
47,141,8,200,LA1_1179572856
48,777,9,200,LA1_1179572856
49,89,10,200,LA1_1179572856
50,157,1,100,LA1_1179558657
51,875,2,100,LA1_1179558657
52,-1,3,100,LA1_1179558657
53,145,4,100,LA1_1179558657
54,80,5,100,LA1_1179558657
55,51,6,200,LA1_1179558657
56,157,7,200,LA1_1179558657
57,19,8,200,LA1_1179558657
58,133,9,200,LA1_1179558657
59,18,10,200,LA1_1179558657
60,21,1,100,LA1_1178313314
61,35,2,100,LA1_1178313314
62,161,3,100,LA1_1178313314
63,84,4,100,LA1_1178313314
64,777,5,100,LA1_1178313314
65,51,6,200,LA1_1178313314
66,37,7,200,LA1_1178313314
67,131,8,200,LA1_1178313314
68,25,9,200,LA1_1178313314
69,82,10,200,LA1_1178313314
70,29,1,100,LA1_1178269069
71,11,2,100,LA1_1178269069
72,19,3,100,LA1_1178269069
73,777,4,100,LA1_1178269069
74,875,5,100,LA1_1178269069
75,238,6,200,LA1_1178269069
76,555,7,200,LA1_1178269069
77,6,8,200,LA1_1178269069
78,11,9,200,LA1_1178269069
79,202,10,200,LA1_1178269069
80,43,1,100,LA1_1178244807
81,39,2,100,LA1_1178244807
82,157,3,100,LA1_1178244807
83,11,4,100,LA1_1178244807
84,141,5,100,LA1_1178244807
85,17,6,200,LA1_1178244807
86,145,7,200,LA1_1178244807
87,238,8,200,LA1_1178244807
88,19,9,200,LA1_1178244807
89,64,10,200,LA1_1178244807
90,82,1,100,LA1_1178271055
91,122,2,100,LA1_1178271055
92,777,3,100,LA1_1178271055
93,222,4,100,LA1_1178271055
94,254,5,100,LA1_1178271055
95,254,6,200,LA1_1178271055
96,25,7,200,LA1_1178271055
97,150,8,200,LA1_1178271055
98,67,9,200,LA1_1178271055
99,777,10,200,LA1_1178271055
100,3,1,100,LA1_1178218412
101,64,2,100,LA1_1178218412
102,25,3,100,LA1_1178218412
103,360,4,100,LA1_1178218412
104,17,5,100,LA1_1178218412
105,555,6,200,LA1_1178218412
106,11,7,200,LA1_1178218412
107,202,8,200,LA1_1178218412
108,157,9,200,LA1_1178218412
109,133,10,200,LA1_1178218412
110,84,1,100,LA1_1177467532
111,711,2,100,LA1_1177467532
112,11,3,100,LA1_1177467532
113,122,4,100,LA1_1177467532
114,555,5,100,LA1_1177467532
115,119,6,200,LA1_1177467532
116,498,7,200,LA1_1177467532
117,711,8,200,LA1_1177467532
118,141,9,200,LA1_1177467532
119,17,10,200,LA1_1177467532
120,25,1,100,LA1_1177434982
121,254,2,100,LA1_1177434982
122,53,3,100,LA1_1177434982
123,30,4,100,LA1_1177434982
124,11,5,100,LA1_1177434982
125,11,6,200,LA1_1177434982
126,157,7,200,LA1_1177434982
127,63,8,200,LA1_1177434982
128,82,9,200,LA1_1177434982
129,99,10,200,LA1_1177434982
130,21,1,100,LA1_1177440646
131,141,2,100,LA1_1177440646
132,25,3,100,LA1_1177440646
133,17,4,100,LA1_1177440646
134,84,5,100,LA1_1177440646
135,17,6,200,LA1_1177440646
136,13,7,200,LA1_1177440646
137,99,8,200,LA1_1177440646
138,35,9,200,LA1_1177440646
139,555,10,200,LA1_1177440646
140,240,1,100,LA1_1177405709
141,99,2,100,LA1_1177405709
142,157,3,100,LA1_1177405709
143,53,4,100,LA1_1177405709
144,202,5,100,LA1_1177405709
145,21,6,200,LA1_1177405709
146,875,7,200,LA1_1177405709
147,84,8,200,LA1_1177405709
148,121,9,200,LA1_1177405709
149,161,10,200,LA1_1177405709
150,11,1,100,LA1_1172756701
151,111,2,100,LA1_1172756701
152,202,3,100,LA1_1172756701
153,875,4,100,LA1_1172756701
154,245,5,100,LA1_1172756701
155,141,6,200,LA1_1172756701
156,13,7,200,LA1_1172756701
157,45,8,200,LA1_1172756701
158,350,9,200,LA1_1172756701
159,360,10,200,LA1_1172756701
