,championId,pickTurn,teamId,metadata.matchId
0,64,1,100,LA1_1078325017
1,117,2,100,LA1_1078325017
2,202,3,100,LA1_1078325017
3,84,4,100,LA1_1078325017
4,150,5,100,LA1_1078325017
5,122,6,200,LA1_1078325017
6,18,7,200,LA1_1078325017
7,234,8,200,LA1_1078325017
8,25,9,200,LA1_1078325017
9,202,10,200,LA1_1078325017
10,67,1,100,LA1_1167290315
11,360,2,100,LA1_1167290315
12,711,3,100,LA1_1167290315
13,51,4,100,LA1_1167290315
14,84,5,100,LA1_1167290315
15,89,6,200,LA1_1167290315
16,64,7,200,LA1_1167290315
17,17,8,200,LA1_1167290315
18,25,9,200,LA1_1167290315
19,238,10,200,LA1_1167290315
20,55,1,100,LA1_1167276386
21,36,2,100,LA1_1167276386
22,25,3,100,LA1_1167276386
23,67,4,100,LA1_1167276386
24,245,5,100,LA1_1167276386
25,875,6,200,LA1_1167276386
26,39,7,200,LA1_1167276386
27,89,8,200,LA1_1167276386
28,11,9,200,LA1_1167276386
29,25,10,200,LA1_1167276386
30,39,1,100,LA1_1167252156
31,89,2,100,LA1_1167252156
32,11,3,100,LA1_1167252156
33,25,4,100,LA1_1167252156
34,166,5,100,LA1_1167252156
35,236,6,200,LA1_1167252156
36,235,7,200,LA1_1167252156
37,412,8,200,LA1_1167252156
38,82,9,200,LA1_1167252156
39,104,10,200,LA1_1167252156
40,53,1,100,LA1_1167045664
41,238,2,100,LA1_1167045664
42,240,3,100,LA1_1167045664
43,35,4,100,LA1_1167045664
44,21,5,100,LA1_1167045664
45,517,6,200,LA1_1167045664
46,17,7,200,LA1_1167045664
47,254,8,200,LA1_1167045664
48,9,9,200,LA1_1167045664
49,-1,10,200,LA1_1167045664
50,223,1,100,LA1_1166571274
51,350,2,100,LA1_1166571274
52,39,3,100,LA1_1166571274
53,711,4,100,LA1_1166571274
54,267,5,100,LA1_1166571274
55,58,6,200,LA1_1166571274
56,78,7,200,LA1_1166571274
57,238,8,200,LA1_1166571274
58,555,9,200,LA1_1166571274
59,235,10,200,LA1_1166571274
60,83,1,100,LA1_1166542175
61,75,2,100,LA1_1166542175
62,105,3,100,LA1_1166542175
63,236,4,100,LA1_1166542175
64,234,5,100,LA1_1166542175
65,157,6,200,LA1_1166542175
66,58,7,200,LA1_1166542175
67,141,8,200,LA1_1166542175
68,555,9,200,LA1_1166542175
69,9,10,200,LA1_1166542175
70,25,1,100,LA1_1160302644
71,17,2,100,LA1_1160302644
72,89,3,100,LA1_1160302644
73,238,4,100,LA1_1160302644
74,92,5,100,LA1_1160302644
75,11,6,200,LA1_1160302644
76,105,7,200,LA1_1160302644
77,223,8,200,LA1_1160302644
78,77,9,200,LA1_1160302644
79,238,10,200,LA1_1160302644
80,89,1,100,LA1_1158956872
81,90,2,100,LA1_1158956872
82,120,3,100,LA1_1158956872
83,82,4,100,LA1_1158956872
84,25,5,100,LA1_1158956872
85,157,6,200,LA1_1158956872
86,141,7,200,LA1_1158956872
87,131,8,200,LA1_1158956872
88,82,9,200,LA1_1158956872
89,99,10,200,LA1_1158956872
90,19,1,100,LA1_1155425736
91,89,2,100,LA1_1155425736
92,238,3,100,LA1_1155425736
93,25,4,100,LA1_1155425736
94,31,5,100,LA1_1155425736
95,6,6,200,LA1_1155425736
96,58,7,200,LA1_1155425736
97,111,8,200,LA1_1155425736
98,11,9,200,LA1_1155425736
99,21,10,200,LA1_1155425736
100,91,1,100,LA1_1155399251
101,35,2,100,LA1_1155399251
102,238,3,100,LA1_1155399251
103,122,4,100,LA1_1155399251
104,164,5,100,LA1_1155399251
105,89,6,200,LA1_1155399251
106,25,7,200,LA1_1155399251
107,64,8,200,LA1_1155399251
108,55,9,200,LA1_1155399251
109,223,10,200,LA1_1155399251
110,238,1,100,LA1_1155361813
111,157,2,100,LA1_1155361813
112,23,3,100,LA1_1155361813
113,202,4,100,LA1_1155361813
114,67,5,100,LA1_1155361813
115,157,6,200,LA1_1155361813
116,25,7,200,LA1_1155361813
117,114,8,200,LA1_1155361813
118,122,9,200,LA1_1155361813
119,89,10,200,LA1_1155361813
120,222,1,100,LA1_1153975559
121,19,2,100,LA1_1153975559
122,89,3,100,LA1_1153975559
123,711,4,100,LA1_1153975559
124,122,5,100,LA1_1153975559
125,25,6,200,LA1_1153975559
126,54,7,200,LA1_1153975559
127,39,8,200,LA1_1153975559
128,89,9,200,LA1_1153975559
129,518,10,200,LA1_1153975559
130,25,1,100,LA1_1153970680
131,876,2,100,LA1_1153970680
132,114,3,100,LA1_1153970680
133,89,4,100,LA1_1153970680
134,157,5,100,LA1_1153970680
135,523,6,200,LA1_1153970680
136,-1,7,200,LA1_1153970680
137,89,8,200,LA1_1153970680
138,25,9,200,LA1_1153970680
139,23,10,200,LA1_1153970680
140,32,1,100,LA1_1152489908
141,25,2,100,LA1_1152489908
142,89,3,100,LA1_1152489908
143,122,4,100,LA1_1152489908
144,777,5,100,LA1_1152489908
145,51,6,200,LA1_1152489908
146,39,7,200,LA1_1152489908
147,876,8,200,LA1_1152489908
148,25,9,200,LA1_1152489908
149,114,10,200,LA1_1152489908
150,25,1,100,LA1_1151699529
151,11,2,100,LA1_1151699529
152,420,3,100,LA1_1151699529
153,142,4,100,LA1_1151699529
154,3,5,100,LA1_1151699529
155,17,6,200,LA1_1151699529
156,33,7,200,LA1_1151699529
157,80,8,200,LA1_1151699529
158,25,9,200,LA1_1151699529
159,51,10,200,LA1_1151699529
160,25,1,100,LA1_1151702421
161,166,2,100,LA1_1151702421
162,35,3,100,LA1_1151702421
163,1,4,100,LA1_1151702421
164,202,5,100,LA1_1151702421
165,121,6,200,LA1_1151702421
166,45,7,200,LA1_1151702421
167,238,8,200,LA1_1151702421
168,420,9,200,LA1_1151702421
169,25,10,200,LA1_1151702421
170,238,1,100,LA1_1151657488
171,68,2,100,LA1_1151657488
172,25,3,100,LA1_1151657488
173,67,4,100,LA1_1151657488
174,82,5,100,LA1_1151657488
175,35,6,200,LA1_1151657488
176,117,7,200,LA1_1151657488
177,555,8,200,LA1_1151657488
178,67,9,200,LA1_1151657488
179,711,10,200,LA1_1151657488
180,555,1,100,LA1_1149960693
181,234,2,100,LA1_1149960693
182,105,3,100,LA1_1149960693
183,56,4,100,LA1_1149960693
184,360,5,100,LA1_1149960693
185,157,6,200,LA1_1149960693
186,25,7,200,LA1_1149960693
187,35,8,200,LA1_1149960693
188,23,9,200,LA1_1149960693
189,-1,10,200,LA1_1149960693
190,517,1,100,LA1_1149518255
191,122,2,100,LA1_1149518255
192,360,3,100,LA1_1149518255
193,106,4,100,LA1_1149518255
194,555,5,100,LA1_1149518255
195,25,6,200,LA1_1149518255
196,67,7,200,LA1_1149518255
197,-1,8,200,LA1_1149518255
198,164,9,200,LA1_1149518255
199,131,10,200,LA1_1149518255
200,25,1,100,LA1_1149507404
201,67,2,100,LA1_1149507404
202,106,3,100,LA1_1149507404
203,223,4,100,LA1_1149507404
204,131,5,100,LA1_1149507404
205,245,6,200,LA1_1149507404
206,122,7,200,LA1_1149507404
207,131,8,200,LA1_1149507404
208,141,9,200,LA1_1149507404
209,6,10,200,LA1_1149507404
210,56,1,100,LA1_1176666745
211,105,2,100,LA1_1176666745
212,360,3,100,LA1_1176666745
213,114,4,100,LA1_1176666745
