,championId,pickTurn,teamId,metadata.matchId
0,117,1,100,LA1_1179349693
1,875,2,100,LA1_1179349693
2,51,3,100,LA1_1179349693
3,141,4,100,LA1_1179349693
4,84,5,100,LA1_1179349693
5,555,6,200,LA1_1179349693
6,98,7,200,LA1_1179349693
7,25,8,200,LA1_1179349693
8,777,9,200,LA1_1179349693
9,360,10,200,LA1_1179349693
10,53,1,100,LA1_1179116531
11,39,2,100,LA1_1179116531
12,157,3,100,LA1_1179116531
13,777,4,100,LA1_1179116531
14,238,5,100,LA1_1179116531
15,234,6,200,LA1_1179116531
16,51,7,200,LA1_1179116531
17,111,8,200,LA1_1179116531
18,240,9,200,LA1_1179116531
19,84,10,200,LA1_1179116531
20,555,1,100,LA1_1173656034
21,122,2,100,LA1_1173656034
22,711,3,100,LA1_1173656034
23,777,4,100,LA1_1173656034
24,238,5,100,LA1_1173656034
25,21,6,200,LA1_1173656034
26,122,7,200,LA1_1173656034
27,777,8,200,LA1_1173656034
28,36,9,200,LA1_1173656034
29,25,10,200,LA1_1173656034
30,68,1,100,LA1_1169962085
31,18,3,100,LA1_1169962085
32,36,5,100,LA1_1169962085
33,25,8,100,LA1_1169962085
34,98,10,100,LA1_1169962085
35,111,2,200,LA1_1169962085
36,427,4,200,LA1_1169962085
37,421,6,200,LA1_1169962085
38,147,7,200,LA1_1169962085
39,3,9,200,LA1_1169962085
40,81,1,100,LA1_1169914756
41,68,3,100,LA1_1169914756
42,18,5,100,LA1_1169914756
43,5,8,100,LA1_1169914756
44,36,10,100,LA1_1169914756
45,50,2,200,LA1_1169914756
46,157,4,200,LA1_1169914756
47,55,6,200,LA1_1169914756
48,104,7,200,LA1_1169914756
49,238,9,200,LA1_1169914756
50,555,1,100,LA1_1155693178
51,238,2,100,LA1_1155693178
52,11,3,100,LA1_1155693178
53,67,4,100,LA1_1155693178
54,82,5,100,LA1_1155693178
55,32,6,200,LA1_1155693178
56,21,7,200,LA1_1155693178
57,69,8,200,LA1_1155693178
58,254,9,200,LA1_1155693178
59,39,10,200,LA1_1155693178
60,13,1,100,LA1_1147853825
61,114,2,100,LA1_1147853825
62,67,3,100,LA1_1147853825
63,11,4,100,LA1_1147853825
64,81,5,100,LA1_1147853825
65,35,6,200,LA1_1147853825
66,234,7,200,LA1_1147853825
67,21,8,200,LA1_1147853825
68,64,9,200,LA1_1147853825
69,143,10,200,LA1_1147853825
70,39,1,100,LA1_1147684411
71,412,2,100,LA1_1147684411
72,30,3,100,LA1_1147684411
73,157,4,100,LA1_1147684411
74,81,5,100,LA1_1147684411
75,157,6,200,LA1_1147684411
76,777,7,200,LA1_1147684411
77,25,8,200,LA1_1147684411
78,67,9,200,LA1_1147684411
79,555,10,200,LA1_1147684411
80,517,1,100,LA1_1147549856
81,887,2,100,LA1_1147549856
82,202,3,100,LA1_1147549856
83,35,4,100,LA1_1147549856
84,89,5,100,LA1_1147549856
85,74,6,200,LA1_1147549856
86,39,7,200,LA1_1147549856
87,81,8,200,LA1_1147549856
88,67,9,200,LA1_1147549856
89,30,10,200,LA1_1147549856
90,238,1,100,LA1_1147406189
91,11,2,100,LA1_1147406189
92,122,3,100,LA1_1147406189
93,37,4,100,LA1_1147406189
94,234,5,100,LA1_1147406189
95,56,6,200,LA1_1147406189
96,134,7,200,LA1_1147406189
97,81,8,200,LA1_1147406189
98,82,9,200,LA1_1147406189
99,67,10,200,LA1_1147406189
100,25,1,100,LA1_1147397809
101,223,2,100,LA1_1147397809
102,55,3,100,LA1_1147397809
103,711,4,100,LA1_1147397809
104,56,5,100,LA1_1147397809
105,67,6,200,LA1_1147397809
106,64,7,200,LA1_1147397809
107,35,8,200,LA1_1147397809
108,81,9,200,LA1_1147397809
109,238,10,200,LA1_1147397809
110,81,1,100,LA1_1147384885
111,23,2,100,LA1_1147384885
112,39,3,100,LA1_1147384885
113,67,4,100,LA1_1147384885
114,4,5,100,LA1_1147384885
115,157,6,200,LA1_1147384885
116,238,7,200,LA1_1147384885
117,223,8,200,LA1_1147384885
118,555,9,200,LA1_1147384885
119,234,10,200,LA1_1147384885
120,166,1,100,LA1_1146925277
121,202,2,100,LA1_1146925277
122,32,3,100,LA1_1146925277
123,45,4,100,LA1_1146925277
124,238,5,100,LA1_1146925277
125,81,6,200,LA1_1146925277
126,5,7,200,LA1_1146925277
127,17,8,200,LA1_1146925277
128,117,9,200,LA1_1146925277
129,101,10,200,LA1_1146925277
130,56,1,100,LA1_1140787656
131,105,2,100,LA1_1140787656
132,119,3,100,LA1_1140787656
133,25,4,100,LA1_1140787656
134,875,5,100,LA1_1140787656
135,122,6,200,LA1_1140787656
136,67,7,200,LA1_1140787656
137,51,8,200,LA1_1140787656
138,63,9,200,LA1_1140787656
139,238,10,200,LA1_1140787656
140,141,1,100,LA1_1140683199
141,23,2,100,LA1_1140683199
142,360,3,100,LA1_1140683199
143,157,4,100,LA1_1140683199
144,238,5,100,LA1_1140683199
145,18,6,200,LA1_1140683199
146,51,7,200,LA1_1140683199
147,9,8,200,LA1_1140683199
148,-1,9,200,LA1_1140683199
149,35,10,200,LA1_1140683199
150,106,1,100,LA1_1136719000
151,5,2,100,LA1_1136719000
152,81,3,100,LA1_1136719000
153,25,4,100,LA1_1136719000
154,105,5,100,LA1_1136719000
155,32,6,200,LA1_1136719000
156,84,7,200,LA1_1136719000
157,360,8,200,LA1_1136719000
158,25,9,200,LA1_1136719000
159,234,10,200,LA1_1136719000
160,11,1,100,LA1_1136594351
161,127,2,100,LA1_1136594351
162,82,3,100,LA1_1136594351
163,-1,4,100,LA1_1136594351
164,19,5,100,LA1_1136594351
165,25,6,200,LA1_1136594351
166,39,7,200,LA1_1136594351
167,64,8,200,LA1_1136594351
168,81,9,200,LA1_1136594351
169,122,10,200,LA1_1136594351
170,36,1,100,LA1_1133869623
171,11,2,100,LA1_1133869623
172,25,3,100,LA1_1133869623
173,105,4,100,LA1_1133869623
174,166,5,100,LA1_1133869623
175,81,6,200,LA1_1133869623
176,238,7,200,LA1_1133869623
177,39,8,200,LA1_1133869623
178,23,9,200,LA1_1133869623
179,35,10,200,LA1_1133869623
180,234,1,100,LA1_1131463524
181,115,2,100,LA1_1131463524
182,82,3,100,LA1_1131463524
183,166,4,100,LA1_1131463524
184,38,5,100,LA1_1131463524
185,51,6,200,LA1_1131463524
186,22,7,200,LA1_1131463524
187,11,8,200,LA1_1131463524
188,25,9,200,LA1_1131463524
189,238,10,200,LA1_1131463524
