,first'baron,'baronKills,first'champion,'championKills,first'dragon,'dragonKills,first'inhibitor,'inhibitorKills,first'riftHerald,'riftHeraldKills,first'tower,'towerKills,teamId,win,metadata.matchId,eloRank
0,False,0,False,7,False,0,False,0,False,0,False,0,100,False,LA1_1179639069,BRONZE
1,False,0,True,20,True,1,False,0,True,1,True,2,200,True,LA1_1179639069,BRONZE
2,False,0,True,24,True,2,False,0,True,1,True,6,100,True,LA1_1179635493,BRONZE
3,False,0,False,11,False,1,False,0,False,0,False,1,200,False,LA1_1179635493,BRONZE
4,False,0,True,41,True,5,True,1,False,1,False,8,100,True,LA1_1179611590,BRONZE
5,False,0,False,24,False,0,False,0,True,1,True,5,200,False,LA1_1179611590,BRONZE
6,False,0,True,33,False,2,False,0,True,1,True,2,100,False,LA1_1179596639,BRONZE
7,True,2,False,29,True,3,True,3,False,0,False,11,200,True,LA1_1179596639,BRONZE
8,False,0,False,32,False,1,False,0,False,1,True,5,100,False,LA1_1179572856,BRONZE
9,True,1,True,57,True,5,True,1,True,1,False,10,200,True,LA1_1179572856,BRONZE
10,False,0,False,45,False,3,False,0,False,0,False,5,100,True,LA1_1179558657,BRONZE
11,False,0,True,24,True,1,False,0,True,1,True,4,200,False,LA1_1179558657,BRONZE
12,False,0,False,38,True,2,False,0,False,0,False,3,100,False,LA1_1178313314,BRONZE
13,False,0,True,50,False,2,True,1,False,0,True,9,200,True,LA1_1178313314,BRONZE
14,True,1,False,39,True,3,True,2,False,0,True,10,100,True,LA1_1178269069,BRONZE
15,False,0,True,22,False,1,False,0,False,0,False,3,200,False,LA1_1178269069,BRONZE
16,True,1,True,34,True,1,True,1,True,1,True,7,100,False,LA1_1178244807,BRONZE
17,False,0,False,47,False,5,False,1,False,1,False,10,200,True,LA1_1178244807,BRONZE
18,False,0,False,31,False,0,False,0,False,0,False,2,100,False,LA1_1178271055,BRONZE
19,False,0,True,44,True,4,True,3,True,1,True,11,200,True,LA1_1178271055,BRONZE
20,False,0,True,30,True,2,True,3,True,2,True,8,100,True,LA1_1178218412,BRONZE
21,True,1,False,33,False,2,False,0,False,0,False,4,200,False,LA1_1178218412,BRONZE
22,False,0,True,39,True,3,True,3,True,2,True,11,100,True,LA1_1177467532,BRONZE
23,False,0,False,10,False,0,False,0,False,0,False,0,200,False,LA1_1177467532,BRONZE
24,False,0,False,23,False,2,True,1,False,0,True,7,100,True,LA1_1177434982,BRONZE
25,False,0,True,20,True,1,False,0,False,0,False,0,200,False,LA1_1177434982,BRONZE
26,False,0,False,24,False,2,False,0,True,2,True,4,100,False,LA1_1177440646,BRONZE
27,False,0,True,40,True,2,True,2,False,0,False,7,200,True,LA1_1177440646,BRONZE
28,False,0,False,38,False,2,True,1,True,2,False,8,100,False,LA1_1177405709,BRONZE
29,True,2,True,40,True,5,False,1,False,0,True,9,200,True,LA1_1177405709,BRONZE
30,False,0,False,27,False,1,False,0,False,1,False,3,100,False,LA1_1172756701,BRONZE
31,False,0,True,58,True,3,True,2,True,1,True,9,200,True,LA1_1172756701,BRONZE
32,False,0,True,29,True,2,False,0,True,1,True,2,100,False,LA1_1172752960,BRONZE
33,True,1,False,39,False,2,True,3,False,0,False,11,200,True,LA1_1172752960,BRONZE
34,False,0,False,38,False,3,True,1,True,2,True,8,100,True,LA1_1172719497,BRONZE
35,False,0,True,22,True,1,False,0,False,0,False,2,200,False,LA1_1172719497,BRONZE
36,True,1,True,45,False,2,True,2,True,1,False,10,100,True,LA1_1171400127,BRONZE
37,False,0,False,33,True,2,False,0,False,0,True,4,200,False,LA1_1171400127,BRONZE
38,False,0,True,28,True,3,False,0,False,0,False,3,100,False,LA1_1171384385,BRONZE
39,True,1,False,36,False,2,True,1,True,2,True,8,200,True,LA1_1171384385,BRONZE
40,False,1,False,45,True,3,False,5,False,1,False,11,100,True,LA1_1102740199,BRONZE
41,True,1,True,51,False,3,True,1,True,1,True,9,200,False,LA1_1102740199,BRONZE
42,False,0,True,41,False,2,False,0,True,2,True,5,100,False,LA1_1102669824,BRONZE
43,True,1,False,30,True,3,True,2,False,0,False,8,200,True,LA1_1102669824,BRONZE
44,True,1,True,41,True,2,True,1,False,1,True,6,100,False,LA1_1102667979,BRONZE
45,False,0,False,58,False,5,False,1,True,1,False,9,200,True,LA1_1102667979,BRONZE
46,False,0,True,26,False,1,False,0,True,1,False,6,100,False,LA1_1102564106,BRONZE
47,False,0,False,32,True,2,True,1,False,1,True,6,200,True,LA1_1102564106,BRONZE
48,False,0,False,36,True,2,True,2,True,2,True,8,100,False,LA1_1102536617,BRONZE
49,True,1,True,42,False,3,False,1,False,0,False,7,200,True,LA1_1102536617,BRONZE
50,True,3,True,44,True,5,True,6,True,1,True,11,100,True,LA1_1102499243,BRONZE
51,False,0,False,52,False,2,False,0,False,1,False,2,200,False,LA1_1102499243,BRONZE
52,False,0,True,1,False,0,False,0,False,0,False,0,100,True,LA1_1102486226,BRONZE
53,False,0,False,0,False,0,False,0,False,0,False,0,200,False,LA1_1102486226,BRONZE
54,False,0,False,33,False,0,True,1,False,1,True,8,100,True,LA1_1102255755,BRONZE
55,False,0,True,19,True,3,False,0,True,1,False,0,200,False,LA1_1102255755,BRONZE
56,False,0,False,8,False,0,False,0,False,0,False,0,100,False,LA1_1101313965,BRONZE
57,False,0,True,36,True,3,True,3,True,2,True,11,200,True,LA1_1101313965,BRONZE
58,True,1,True,50,True,4,False,3,True,1,False,10,100,True,LA1_1100410830,BRONZE
59,False,0,False,36,False,2,True,1,False,1,True,7,200,False,LA1_1100410830,BRONZE
60,False,0,True,25,True,2,False,0,False,0,False,5,100,False,LA1_1100338358,BRONZE
61,True,1,False,40,False,3,True,4,True,2,True,11,200,True,LA1_1100338358,BRONZE
62,False,0,True,41,True,3,True,2,True,2,True,8,100,True,LA1_1100250591,BRONZE
63,False,0,False,7,False,0,False,0,False,0,False,1,200,False,LA1_1100250591,BRONZE
64,True,1,True,47,True,4,True,2,True,1,True,9,100,True,LA1_1099832842,BRONZE
65,False,0,False,23,False,1,False,0,False,0,False,3,200,False,LA1_1099832842,BRONZE
66,False,0,True,33,False,2,True,1,False,0,True,7,100,True,LA1_1099777631,BRONZE
67,False,0,False,9,True,1,False,0,True,1,False,1,200,False,LA1_1099777631,BRONZE
68,False,0,False,35,True,4,False,1,True,1,False,6,100,False,LA1_1099804647,BRONZE
69,True,1,True,41,False,2,True,3,False,1,True,10,200,True,LA1_1099804647,BRONZE
70,False,0,False,21,False,1,False,0,False,0,True,2,100,False,LA1_1099403173,BRONZE
71,True,1,True,33,True,3,True,2,True,1,False,9,200,True,LA1_1099403173,BRONZE
72,True,1,False,34,True,3,True,2,True,2,True,10,100,True,LA1_1099219706,BRONZE
73,False,0,True,14,False,0,False,0,False,0,False,0,200,False,LA1_1099219706,BRONZE
74,False,0,False,32,True,3,False,0,False,0,False,2,100,False,LA1_1099155926,BRONZE
75,True,1,True,54,False,2,True,2,True,2,True,10,200,True,LA1_1099155926,BRONZE
76,False,0,True,27,True,4,True,1,False,0,False,6,100,False,LA1_1098725980,BRONZE
77,True,1,False,39,False,0,False,2,True,2,True,11,200,True,LA1_1098725980,BRONZE
78,True,1,False,45,True,4,True,1,True,2,True,9,100,True,LA1_1098658551,BRONZE
79,False,0,True,18,False,0,False,0,False,0,False,3,200,False,LA1_1098658551,BRONZE
80,False,0,False,33,True,4,True,2,True,1,True,9,100,True,LA1_1131748989,BRONZE
81,False,0,True,20,False,1,False,0,False,0,False,5,200,False,LA1_1131748989,BRONZE
82,False,0,False,32,False,3,True,1,True,1,True,9,100,True,LA1_1129887410,BRONZE
83,False,0,True,27,True,1,False,0,False,0,False,2,200,False,LA1_1129887410,BRONZE
84,False,0,False,25,False,1,False,0,False,1,False,6,100,True,LA1_1129867762,BRONZE
85,False,0,True,16,True,2,False,0,True,1,True,2,200,False,LA1_1129867762,BRONZE
86,False,0,True,21,True,2,False,0,True,1,False,1,100,False,LA1_1129886630,BRONZE
87,False,0,False,44,False,2,True,3,False,1,True,11,200,True,LA1_1129886630,BRONZE
88,False,0,False,19,False,2,False,0,False,0,False,2,100,False,LA1_1129066158,BRONZE
89,True,1,True,53,True,2,True,1,True,2,True,8,200,True,LA1_1129066158,BRONZE
90,False,0,True,1,False,0,False,0,False,0,False,0,100,True,LA1_1129075163,BRONZE
91,False,0,False,1,False,0,False,0,False,0,False,0,200,False,LA1_1129075163,BRONZE
92,False,0,True,1,False,0,False,0,False,0,False,0,100,False,LA1_1128924684,BRONZE
93,False,0,False,0,False,0,False,0,False,0,False,0,200,True,LA1_1128924684,BRONZE
94,False,0,True,26,False,1,False,0,True,1,False,3,100,False,LA1_1128923966,BRONZE
95,False,0,False,51,True,2,True,2,False,0,True,9,200,True,LA1_1128923966,BRONZE
96,True,1,True,50,True,3,True,5,False,1,True,11,100,True,LA1_1128492385,BRONZE
97,False,0,False,24,False,1,False,0,True,1,False,1,200,False,LA1_1128492385,BRONZE
98,False,0,False,12,True,1,False,0,False,0,False,0,100,False,LA1_1128481653,BRONZE
99,False,0,True,29,False,2,True,2,True,2,True,10,200,True,LA1_1128481653,BRONZE
100,True,2,True,53,False,3,True,2,True,1,True,10,100,True,LA1_1127426207,BRONZE
101,False,0,False,49,True,2,False,0,False,1,False,4,200,False,LA1_1127426207,BRONZE
102,False,0,False,31,True,2,False,0,True,1,False,4,100,False,LA1_1126826691,BRONZE
103,True,1,True,49,False,3,True,4,False,1,True,11,200,True,LA1_1126826691,BRONZE
104,False,0,False,16,False,0,False,0,True,1,True,2,100,False,LA1_1126812253,BRONZE
105,False,0,True,38,True,5,True,1,False,0,False,7,200,True,LA1_1126812253,BRONZE
106,False,0,True,15,False,1,False,0,False,0,False,0,100,False,LA1_1126796586,BRONZE
107,False,0,False,18,True,1,False,0,True,2,True,5,200,True,LA1_1126796586,BRONZE
108,True,1,False,48,True,3,True,3,True,1,False,11,100,True,LA1_1126051839,BRONZE
109,False,0,True,40,False,1,False,0,False,0,True,3,200,False,LA1_1126051839,BRONZE
110,False,0,True,29,False,1,False,0,False,0,False,3,100,False,LA1_1126028410,BRONZE
111,False,0,False,51,True,2,False,0,True,1,True,5,200,True,LA1_1126028410,BRONZE
112,False,0,False,27,False,1,False,0,False,0,True,4,100,False,LA1_1126037235,BRONZE
113,True,1,True,63,True,4,True,2,True,1,False,10,200,True,LA1_1126037235,BRONZE
114,False,0,False,20,True,1,False,0,False,0,False,0,100,False,LA1_1123757731,BRONZE
115,False,0,True,47,False,2,True,2,True,2,True,11,200,True,LA1_1123757731,BRONZE
116,False,0,False,47,False,3,True,2,True,2,True,9,100,True,LA1_1123752798,BRONZE
117,False,0,True,20,True,1,False,0,False,0,False,0,200,False,LA1_1123752798,BRONZE
118,False,0,False,35,True,2,True,3,True,2,True,11,100,True,LA1_1123487035,BRONZE
119,False,0,True,16,False,1,False,0,False,0,False,1,200,False,LA1_1123487035,BRONZE
120,False,0,False,35,True,4,True,2,True,2,True,8,100,True,LA1_1168990701,BRONZE
121,False,0,True,13,False,0,False,0,False,0,False,0,200,False,LA1_1168990701,BRONZE
122,False,0,False,27,True,2,True,1,False,1,True,10,100,True,LA1_1167212488,BRONZE
123,False,0,True,16,False,0,False,0,True,1,False,1,200,False,LA1_1167212488,BRONZE
124,True,1,False,27,True,2,False,0,True,1,True,2,100,True,LA1_1167179132,BRONZE
125,False,0,True,26,False,1,False,0,False,1,False,4,200,False,LA1_1167179132,BRONZE
126,True,1,False,53,False,3,True,1,False,1,True,7,100,True,LA1_1107901078,BRONZE
127,False,0,True,47,True,3,False,0,True,1,False,5,200,False,LA1_1107901078,BRONZE
128,False,0,True,30,True,4,True,2,True,2,True,10,100,True,LA1_1107867131,BRONZE
129,False,0,False,16,False,0,False,0,False,0,False,1,200,False,LA1_1107867131,BRONZE
130,False,1,True,45,True,4,True,1,True,2,True,9,100,True,LA1_1107298464,BRONZE
131,True,1,False,35,False,2,False,0,False,0,False,2,200,False,LA1_1107298464,BRONZE
132,True,1,False,13,False,1,False,0,False,0,False,0,100,False,LA1_1107313926,BRONZE
133,False,0,True,45,True,4,True,2,True,2,True,10,200,True,LA1_1107313926,BRONZE
134,True,1,True,30,True,4,True,3,True,1,True,11,100,True,LA1_1105795183,BRONZE
135,False,0,False,10,False,0,False,0,False,0,False,0,200,False,LA1_1105795183,BRONZE
136,False,0,False,24,True,3,True,1,False,1,True,8,100,True,LA1_1105773527,BRONZE
137,False,0,True,8,False,0,False,0,True,1,False,1,200,False,LA1_1105773527,BRONZE
138,False,0,False,19,False,0,False,0,False,0,True,6,100,False,LA1_1100907835,BRONZE
139,True,1,True,21,True,3,True,1,True,1,False,9,200,True,LA1_1100907835,BRONZE
140,False,0,False,35,False,1,False,0,True,1,True,3,100,False,LA1_1099941659,BRONZE
141,True,1,True,43,True,4,True,1,False,0,False,8,200,True,LA1_1099941659,BRONZE
142,False,1,False,54,True,4,True,3,True,2,True,10,100,True,LA1_1099896431,BRONZE
143,True,1,True,40,False,3,False,0,False,0,False,4,200,False,LA1_1099896431,BRONZE
144,False,0,True,39,True,4,True,1,False,0,True,7,100,True,LA1_1095139834,BRONZE
145,False,0,False,16,False,0,False,0,True,1,False,1,200,False,LA1_1095139834,BRONZE
146,True,1,True,48,False,2,True,3,False,1,True,10,100,True,LA1_1094874667,BRONZE
147,False,0,False,18,True,3,False,0,True,1,False,2,200,False,LA1_1094874667,BRONZE
148,False,0,False,29,True,1,False,0,True,1,False,4,100,False,LA1_1089895791,BRONZE
149,True,1,True,49,False,4,True,1,False,0,True,9,200,True,LA1_1089895791,BRONZE
150,False,0,True,24,False,1,False,0,True,1,True,4,100,False,LA1_1088582397,BRONZE
151,True,1,False,39,True,4,True,3,False,0,False,11,200,True,LA1_1088582397,BRONZE
152,False,0,True,44,False,5,True,2,False,0,True,9,100,True,LA1_1004231874,BRONZE
153,True,1,False,23,True,1,False,0,True,1,False,3,200,False,LA1_1004231874,BRONZE
154,False,0,True,12,True,2,False,0,True,1,True,2,100,False,LA1_1147375294,BRONZE
155,False,0,False,31,False,1,True,1,False,1,False,8,200,True,LA1_1147375294,BRONZE
156,False,0,False,24,False,1,False,0,False,0,False,2,100,False,LA1_1142367565,BRONZE
157,False,0,True,35,True,3,True,1,True,1,True,7,200,True,LA1_1142367565,BRONZE
158,True,2,True,44,True,4,True,2,True,2,True,9,100,True,LA1_1142338279,BRONZE
159,False,0,False,29,False,1,False,0,False,0,False,3,200,False,LA1_1142338279,BRONZE
160,False,0,False,1,False,0,False,0,False,0,False,0,100,False,LA1_1142343902,BRONZE
161,False,0,True,2,False,0,False,0,False,0,False,0,200,True,LA1_1142343902,BRONZE
162,False,0,False,38,True,3,True,1,True,2,True,9,100,True,LA1_1141744463,BRONZE
163,False,0,True,15,False,0,False,0,False,0,False,0,200,False,LA1_1141744463,BRONZE
164,False,0,False,15,False,0,False,0,False,0,False,0,100,False,LA1_1141719267,BRONZE
165,False,0,True,33,True,3,True,2,True,1,True,10,200,True,LA1_1141719267,BRONZE
166,False,0,False,16,True,1,False,0,False,0,False,0,100,False,LA1_1141703562,BRONZE
167,False,0,True,49,False,3,True,3,True,2,True,11,200,True,LA1_1141703562,BRONZE
168,False,0,True,27,True,1,False,0,False,0,False,5,100,False,LA1_1141677977,BRONZE
169,False,0,False,48,False,3,True,1,True,1,True,9,200,True,LA1_1141677977,BRONZE
170,False,0,False,21,False,0,False,0,False,0,False,0,100,False,LA1_1083017018,BRONZE
171,True,2,True,31,True,4,True,1,True,1,True,6,200,True,LA1_1083017018,BRONZE
172,True,1,True,35,True,3,True,1,True,2,False,8,100,True,LA1_1083013592,BRONZE
173,False,0,False,19,False,1,False,0,False,0,True,2,200,False,LA1_1083013592,BRONZE
174,False,0,False,25,False,2,False,0,False,0,False,1,100,False,LA1_1082988226,BRONZE
175,True,1,True,41,True,2,True,3,True,1,True,10,200,True,LA1_1082988226,BRONZE
176,False,0,True,43,False,1,False,0,False,1,True,7,100,False,LA1_1051699472,BRONZE
177,True,2,False,55,True,4,True,1,True,1,False,9,200,True,LA1_1051699472,BRONZE
178,True,1,True,26,True,3,True,2,True,1,True,11,100,True,LA1_1051670205,BRONZE
179,False,0,False,9,False,1,False,0,False,0,False,1,200,False,LA1_1051670205,BRONZE
180,False,0,False,18,False,0,False,0,False,0,False,1,100,False,LA1_1051640808,BRONZE
181,True,1,True,37,True,4,True,3,True,2,True,11,200,True,LA1_1051640808,BRONZE
182,False,0,False,32,False,2,True,3,True,2,True,11,100,True,LA1_1051077527,BRONZE
183,False,0,True,6,True,1,False,0,False,0,False,0,200,False,LA1_1051077527,BRONZE
184,True,2,True,35,False,4,True,2,True,1,True,9,100,True,LA1_1051039121,BRONZE
185,False,0,False,18,True,1,False,0,False,1,False,6,200,False,LA1_1051039121,BRONZE
186,True,2,True,34,False,4,True,5,True,1,False,11,100,True,LA1_1051050601,BRONZE
187,False,0,False,20,True,1,False,0,False,1,True,2,200,False,LA1_1051050601,BRONZE
188,False,0,True,29,False,1,False,0,False,0,False,1,100,False,LA1_1047494769,BRONZE
189,True,1,False,33,True,3,True,2,True,2,True,7,200,True,LA1_1047494769,BRONZE
190,False,1,True,47,True,4,True,2,False,0,False,10,100,True,LA1_1047461634,BRONZE
191,True,1,False,27,False,1,False,0,True,1,True,6,200,False,LA1_1047461634,BRONZE
