,first'baron,'baronKills,first'champion,'championKills,first'dragon,'dragonKills,first'inhibitor,'inhibitorKills,first'riftHerald,'riftHeraldKills,first'tower,'towerKills,teamId,win,metadata.matchId,eloRank
0,True,2,True,45,True,3,False,1,True,2,False,7,100,True,LA1_1078325017,GOLD
1,False,1,False,37,False,3,True,3,False,0,True,7,200,False,LA1_1078325017,GOLD
2,False,0,True,19,True,1,False,0,True,1,True,1,100,True,LA1_1167290315,GOLD
3,False,0,False,6,False,0,False,0,False,0,False,0,200,False,LA1_1167290315,GOLD
4,False,0,False,3,False,0,False,0,False,0,False,0,100,False,LA1_1167276386,GOLD
5,False,0,True,20,True,2,False,0,True,1,True,4,200,True,LA1_1167276386,GOLD
6,False,0,False,19,False,0,False,0,False,0,True,2,100,False,LA1_1167252156,GOLD
7,True,1,True,36,True,5,True,3,True,2,False,11,200,True,LA1_1167252156,GOLD
8,True,2,True,39,True,4,True,1,False,0,True,7,100,True,LA1_1167045664,GOLD
9,False,0,False,26,False,0,False,0,True,1,False,3,200,False,LA1_1167045664,GOLD
10,False,0,True,8,True,2,False,0,False,0,False,1,100,False,LA1_1166571274,GOLD
11,False,0,False,30,False,1,True,1,True,1,True,6,200,True,LA1_1166571274,GOLD
12,False,0,False,25,False,0,False,0,False,0,False,1,100,False,LA1_1166542175,GOLD
13,True,1,True,46,True,3,True,2,True,1,True,10,200,True,LA1_1166542175,GOLD
14,False,0,False,22,False,0,False,0,False,0,False,0,100,False,LA1_1160302644,GOLD
15,True,1,True,32,True,3,True,2,True,1,True,10,200,True,LA1_1160302644,GOLD
16,False,0,True,16,False,0,False,0,True,1,False,2,100,False,LA1_1158956872,GOLD
17,True,1,False,34,True,5,True,2,False,1,True,9,200,True,LA1_1158956872,GOLD
18,False,0,True,38,True,2,True,2,True,1,True,11,100,True,LA1_1155425736,GOLD
19,False,0,False,11,False,1,False,0,False,0,False,0,200,False,LA1_1155425736,GOLD
20,False,0,True,30,False,1,False,0,False,0,False,0,100,False,LA1_1155399251,GOLD
21,True,1,False,35,True,3,True,5,False,0,True,11,200,True,LA1_1155399251,GOLD
22,False,0,False,29,True,3,False,0,True,1,True,3,100,False,LA1_1155361813,GOLD
23,True,1,True,34,False,3,True,1,False,1,False,8,200,True,LA1_1155361813,GOLD
24,False,0,False,25,True,4,False,0,True,2,True,4,100,False,LA1_1153975559,GOLD
25,True,2,True,35,False,1,True,1,False,0,False,8,200,True,LA1_1153975559,GOLD
26,True,1,False,35,True,4,True,2,False,0,False,9,100,True,LA1_1153970680,GOLD
27,False,0,True,23,False,0,False,0,False,0,True,4,200,False,LA1_1153970680,GOLD
28,False,2,False,59,False,3,False,3,False,0,False,10,100,True,LA1_1152489908,GOLD
29,True,2,True,39,True,5,True,2,True,2,True,7,200,False,LA1_1152489908,GOLD
30,False,0,True,26,True,3,False,0,True,2,True,6,100,True,LA1_1151699529,GOLD
31,False,0,False,6,False,0,False,0,False,0,False,0,200,False,LA1_1151699529,GOLD
32,False,0,False,33,True,2,True,1,False,0,True,9,100,True,LA1_1151702421,GOLD
33,False,0,True,17,False,1,False,0,True,1,False,2,200,False,LA1_1151702421,GOLD
34,False,0,False,22,False,0,False,0,False,0,False,2,100,False,LA1_1151657488,GOLD
35,False,0,True,43,True,3,True,2,True,2,True,9,200,True,LA1_1151657488,GOLD
36,True,1,True,36,True,4,False,2,False,0,True,10,100,True,LA1_1149960693,GOLD
37,False,0,False,15,False,0,True,1,True,2,False,3,200,False,LA1_1149960693,GOLD
38,False,0,True,33,True,4,True,2,False,1,True,9,100,True,LA1_1149518255,GOLD
39,False,0,False,14,False,0,False,0,True,1,False,3,200,False,LA1_1149518255,GOLD
40,False,0,False,0,False,0,False,0,False,0,False,0,100,True,LA1_1149507404,GOLD
41,False,0,False,0,False,0,False,0,False,0,False,0,200,False,LA1_1149507404,GOLD
42,False,0,False,26,False,0,False,0,False,0,False,0,100,False,LA1_1176666745,GOLD
43,False,0,True,51,True,4,True,3,True,2,True,11,200,True,LA1_1176666745,GOLD
44,False,0,False,20,True,1,False,0,False,0,False,0,100,False,LA1_1176352650,GOLD
45,False,0,True,43,False,2,True,1,True,2,True,9,200,True,LA1_1176352650,GOLD
46,False,1,True,46,False,2,False,0,False,0,False,3,100,False,LA1_1176349679,GOLD
47,True,2,False,47,True,4,True,3,True,2,True,11,200,True,LA1_1176349679,GOLD
48,False,0,True,9,False,0,False,0,True,1,True,1,100,False,LA1_1170473751,GOLD
49,True,1,False,23,True,4,True,1,False,1,False,9,200,True,LA1_1170473751,GOLD
50,True,2,True,29,True,5,True,3,True,2,True,11,100,True,LA1_1170447015,GOLD
51,False,0,False,13,False,0,False,0,False,0,False,1,200,False,LA1_1170447015,GOLD
52,True,2,True,24,False,5,True,3,True,1,True,11,100,True,LA1_1170409737,GOLD
53,False,0,False,18,True,1,False,0,False,1,False,3,200,False,LA1_1170409737,GOLD
54,True,1,False,37,True,2,True,3,False,1,True,11,100,True,LA1_1169964650,GOLD
55,False,0,True,22,False,2,False,0,True,1,False,0,200,False,LA1_1169964650,GOLD
56,True,1,True,32,True,4,True,2,True,2,True,10,100,True,LA1_1169928863,GOLD
57,False,0,False,14,False,0,False,0,False,0,False,0,200,False,LA1_1169928863,GOLD
58,False,0,True,21,False,0,False,0,True,1,True,3,100,False,LA1_1169921598,GOLD
59,True,1,False,42,True,4,True,1,False,1,False,7,200,True,LA1_1169921598,GOLD
60,True,1,False,24,True,2,False,0,False,0,False,4,100,False,LA1_1169607403,GOLD
61,False,1,True,34,False,3,True,1,True,2,True,8,200,True,LA1_1169607403,GOLD
62,False,0,True,15,False,0,False,0,False,0,False,0,100,False,LA1_1169627047,GOLD
63,False,0,False,35,True,3,False,0,True,2,True,6,200,True,LA1_1169627047,GOLD
64,False,0,False,25,False,1,False,0,True,1,True,1,100,False,LA1_1169616589,GOLD
65,True,1,True,46,True,3,True,1,False,1,False,8,200,True,LA1_1169616589,GOLD
66,True,1,False,31,True,1,True,1,False,0,False,8,100,False,LA1_1169606052,GOLD
67,False,1,True,53,False,4,False,2,True,1,True,10,200,True,LA1_1169606052,GOLD
68,False,0,True,17,True,1,False,0,False,0,False,0,100,False,LA1_1169605590,GOLD
69,False,0,False,39,False,1,True,1,True,2,True,7,200,True,LA1_1169605590,GOLD
70,False,0,False,30,False,1,False,0,True,2,True,5,100,False,LA1_1169594856,GOLD
71,True,1,True,31,True,4,False,0,False,0,False,4,200,True,LA1_1169594856,GOLD
72,False,0,False,38,False,2,True,1,True,1,False,9,100,True,LA1_1169623225,GOLD
73,False,0,True,28,True,3,False,0,False,0,True,3,200,False,LA1_1169623225,GOLD
74,True,2,True,52,True,4,True,2,True,1,True,10,100,True,LA1_1168570568,GOLD
75,False,0,False,31,False,1,False,0,False,0,False,3,200,False,LA1_1168570568,GOLD
76,False,0,True,29,False,2,True,1,False,1,True,5,100,True,LA1_1167473301,GOLD
77,False,0,False,15,True,1,False,0,True,1,False,0,200,False,LA1_1167473301,GOLD
78,True,1,False,30,True,2,False,0,False,0,True,5,100,False,LA1_1167419834,GOLD
79,False,0,True,35,False,2,True,1,True,1,False,8,200,True,LA1_1167419834,GOLD
80,True,2,True,41,True,2,False,2,False,0,True,11,100,True,LA1_1166967120,GOLD
81,False,0,False,43,False,3,True,1,True,2,False,4,200,False,LA1_1166967120,GOLD
82,False,0,False,18,True,1,False,0,False,1,False,2,100,False,LA1_1175300661,GOLD
83,False,0,True,17,False,2,False,0,True,1,True,3,200,True,LA1_1175300661,GOLD
84,False,0,True,28,True,3,True,2,False,1,True,9,100,True,LA1_1174839878,GOLD
85,False,0,False,7,False,0,False,0,True,1,False,0,200,False,LA1_1174839878,GOLD
86,True,1,True,45,True,2,True,1,False,0,True,8,100,False,LA1_1174330161,GOLD
87,False,0,False,41,False,3,False,1,True,1,False,8,200,True,LA1_1174330161,GOLD
88,False,0,False,19,False,1,False,0,False,0,False,0,100,False,LA1_1174295707,GOLD
89,False,0,True,31,True,3,True,1,True,2,True,8,200,True,LA1_1174295707,GOLD
90,True,1,True,31,True,3,True,3,True,1,True,11,100,True,LA1_1173688862,GOLD
91,False,0,False,14,False,0,False,0,False,0,False,0,200,False,LA1_1173688862,GOLD
92,False,0,False,7,False,0,False,0,False,0,False,1,100,False,LA1_1173686307,GOLD
93,False,0,True,21,True,2,False,0,True,1,True,2,200,True,LA1_1173686307,GOLD
94,False,0,False,27,True,4,False,0,False,0,False,4,100,False,LA1_1173667435,GOLD
95,True,2,True,52,False,0,True,2,True,1,True,9,200,True,LA1_1173667435,GOLD
96,False,0,True,27,True,3,True,2,True,2,True,8,100,True,LA1_1173619576,GOLD
97,False,0,False,13,False,0,False,0,False,0,False,1,200,False,LA1_1173619576,GOLD
98,True,1,True,46,True,2,True,3,True,1,True,11,100,True,LA1_1173591670,GOLD
99,False,0,False,35,False,4,False,0,False,0,False,5,200,False,LA1_1173591670,GOLD
100,False,0,False,28,True,4,True,3,True,2,True,11,100,True,LA1_1173588700,GOLD
101,False,0,True,11,False,0,False,0,False,0,False,1,200,False,LA1_1173588700,GOLD
102,False,0,False,43,False,0,False,0,False,0,False,1,100,False,LA1_1173586174,GOLD
103,True,1,True,48,True,5,True,5,True,2,True,11,200,True,LA1_1173586174,GOLD
104,False,0,False,18,False,0,False,0,False,0,True,5,100,True,LA1_1173550961,GOLD
105,False,0,True,12,True,2,False,0,True,1,False,0,200,False,LA1_1173550961,GOLD
106,False,0,False,15,False,0,False,0,False,0,False,1,100,False,LA1_1173443745,GOLD
107,False,0,True,34,True,3,True,2,True,2,True,10,200,True,LA1_1173443745,GOLD
108,True,1,True,29,False,1,False,0,False,0,False,3,100,False,LA1_1173398717,GOLD
109,False,0,False,29,True,4,True,3,True,1,True,10,200,True,LA1_1173398717,GOLD
110,False,1,False,49,True,3,False,1,False,1,False,7,100,True,LA1_1173292079,GOLD
111,True,1,True,40,False,2,True,1,True,1,True,9,200,False,LA1_1173292079,GOLD
112,True,1,False,41,True,4,True,1,True,1,True,9,100,True,LA1_1170640684,GOLD
113,False,0,True,25,False,0,False,0,False,0,False,3,200,False,LA1_1170640684,GOLD
114,True,1,False,31,True,1,False,1,False,0,False,6,100,True,LA1_1170597270,GOLD
115,False,0,True,38,False,4,True,2,True,2,True,8,200,False,LA1_1170597270,GOLD
116,True,1,False,30,False,4,True,3,True,1,False,9,100,True,LA1_1170448914,GOLD
117,False,0,True,18,True,2,False,0,False,0,True,4,200,False,LA1_1170448914,GOLD
118,True,1,True,31,True,5,True,3,True,1,True,11,100,True,LA1_1170450381,GOLD
119,False,0,False,15,False,0,False,0,False,1,False,2,200,False,LA1_1170450381,GOLD
120,False,0,False,11,True,2,False,0,False,0,False,2,100,False,LA1_1170403908,GOLD
121,True,2,True,30,False,2,True,1,True,1,True,10,200,True,LA1_1170403908,GOLD
122,False,0,True,21,False,2,False,0,True,1,True,2,100,True,LA1_1159298539,GOLD
123,False,0,False,10,True,1,False,0,False,0,False,0,200,False,LA1_1159298539,GOLD
124,False,0,False,0,False,0,False,0,False,0,False,0,100,False,LA1_1159316635,GOLD
125,False,0,False,0,False,0,False,0,False,0,False,0,200,True,LA1_1159316635,GOLD
126,False,0,False,29,False,2,False,0,False,0,False,4,100,True,LA1_1138769492,GOLD
127,False,0,True,18,True,1,False,0,True,2,True,4,200,False,LA1_1138769492,GOLD
128,True,1,False,41,True,3,True,1,True,1,False,9,100,True,LA1_1138766582,GOLD
129,False,0,True,35,False,2,False,0,False,0,True,6,200,False,LA1_1138766582,GOLD
130,False,0,True,28,True,2,True,1,True,1,True,9,100,True,LA1_1132821261,GOLD
131,True,1,False,32,False,1,False,0,False,1,False,5,200,False,LA1_1132821261,GOLD
132,False,0,False,28,False,2,True,3,True,1,True,9,100,True,LA1_1128272204,GOLD
133,True,1,True,36,True,4,False,2,False,0,False,9,200,False,LA1_1128272204,GOLD
134,True,1,False,25,True,2,True,1,True,2,True,8,100,True,LA1_1116967581,GOLD
135,False,0,True,23,False,3,False,0,False,0,False,2,200,False,LA1_1116967581,GOLD
136,False,0,False,35,False,2,True,1,True,1,True,9,100,True,LA1_1116973992,GOLD
137,False,0,True,13,True,2,False,0,False,0,False,1,200,False,LA1_1116973992,GOLD
138,False,0,False,9,True,1,False,0,False,1,False,1,100,False,LA1_1116962664,GOLD
139,False,0,True,23,False,2,True,2,True,1,True,10,200,True,LA1_1116962664,GOLD
140,False,0,False,16,True,2,False,0,False,1,False,2,100,False,LA1_1115802015,GOLD
141,False,0,True,28,False,2,True,1,True,1,True,8,200,True,LA1_1115802015,GOLD
142,False,0,True,48,True,1,True,1,True,1,True,9,100,True,LA1_1115770528,GOLD
143,False,0,False,6,False,0,False,0,False,0,False,0,200,False,LA1_1115770528,GOLD
144,False,0,True,40,True,2,False,1,True,1,True,8,100,True,LA1_1115734885,GOLD
145,True,2,False,23,False,3,True,2,False,0,False,9,200,False,LA1_1115734885,GOLD
146,False,0,False,9,True,1,False,0,False,0,False,0,100,False,LA1_1115728305,GOLD
147,False,0,True,37,False,1,True,3,True,2,True,11,200,True,LA1_1115728305,GOLD
148,False,0,True,15,True,3,False,0,False,1,False,4,100,True,LA1_1115715638,GOLD
149,False,0,False,11,False,0,False,0,True,1,True,1,200,False,LA1_1115715638,GOLD
150,False,0,True,24,True,2,False,0,True,2,True,6,100,True,LA1_1115711882,GOLD
151,False,0,False,2,False,0,False,0,False,0,False,0,200,False,LA1_1115711882,GOLD
152,False,0,True,24,True,3,True,1,True,2,True,9,100,True,LA1_1108533600,GOLD
153,False,0,False,8,False,0,False,0,False,0,False,0,200,False,LA1_1108533600,GOLD
154,True,1,False,32,False,3,True,2,True,2,False,9,100,True,LA1_1108014760,GOLD
155,False,1,True,31,True,3,False,1,False,0,True,9,200,False,LA1_1108014760,GOLD
156,False,0,False,39,False,3,True,4,False,0,True,10,100,False,LA1_1106503321,GOLD
157,True,2,True,39,True,4,False,1,False,0,False,9,200,True,LA1_1106503321,GOLD
158,False,0,False,11,False,0,False,0,False,0,False,0,100,False,LA1_1105945829,GOLD
159,True,1,True,46,True,4,True,4,True,2,True,11,200,True,LA1_1105945829,GOLD
