,first'baron,'baronKills,first'champion,'championKills,first'dragon,'dragonKills,first'inhibitor,'inhibitorKills,first'riftHerald,'riftHeraldKills,first'tower,'towerKills,teamId,win,metadata.matchId,eloRank
0,False,0,True,43,True,4,False,0,True,1,True,4,100,False,LA1_1179349693,PLATINUM
1,True,1,False,32,False,0,True,1,False,0,False,8,200,True,LA1_1179349693,PLATINUM
2,True,1,False,49,True,4,True,2,True,2,True,10,100,True,LA1_1179116531,PLATINUM
3,False,0,True,28,False,0,False,0,False,0,False,0,200,False,LA1_1179116531,PLATINUM
4,True,1,False,32,False,3,True,3,True,1,True,10,100,True,LA1_1173656034,PLATINUM
5,False,0,True,21,True,1,False,0,False,1,False,1,200,False,LA1_1173656034,PLATINUM
6,True,1,False,18,True,4,True,3,False,1,False,11,100,True,LA1_1169962085,PLATINUM
7,False,0,True,16,False,0,False,0,True,1,True,1,200,False,LA1_1169962085,PLATINUM
8,False,0,False,42,True,4,True,3,True,1,True,10,100,True,LA1_1169914756,PLATINUM
9,False,0,True,22,False,0,False,0,False,0,False,0,200,False,LA1_1169914756,PLATINUM
10,False,0,True,33,True,1,False,0,False,0,False,2,100,False,LA1_1155693178,PLATINUM
11,False,0,False,44,False,4,True,3,True,2,True,10,200,True,LA1_1155693178,PLATINUM
12,False,0,True,32,False,1,False,0,True,2,True,4,100,False,LA1_1147853825,PLATINUM
13,True,2,False,33,True,4,True,2,False,0,False,10,200,True,LA1_1147853825,PLATINUM
14,True,1,True,41,True,5,True,1,True,1,False,8,100,True,LA1_1147684411,PLATINUM
15,False,0,False,13,False,0,False,0,False,0,True,3,200,False,LA1_1147684411,PLATINUM
16,False,1,False,41,True,4,False,2,True,1,True,10,100,True,LA1_1147549856,PLATINUM
17,True,2,True,44,False,3,True,1,False,0,False,7,200,False,LA1_1147549856,PLATINUM
18,False,0,True,21,False,1,False,0,False,1,True,4,100,False,LA1_1147406189,PLATINUM
19,True,1,False,33,True,4,True,4,True,1,False,11,200,True,LA1_1147406189,PLATINUM
20,False,0,True,13,False,0,False,0,True,1,True,5,100,False,LA1_1147397809,PLATINUM
21,True,1,False,39,True,4,True,3,False,0,False,11,200,True,LA1_1147397809,PLATINUM
22,False,0,True,17,False,1,False,0,False,1,False,3,100,True,LA1_1147384885,PLATINUM
23,False,0,False,5,True,1,False,0,True,1,True,1,200,False,LA1_1147384885,PLATINUM
24,False,0,False,5,False,0,False,0,False,0,False,1,100,False,LA1_1146925277,PLATINUM
25,False,0,True,18,True,3,False,0,True,2,True,5,200,True,LA1_1146925277,PLATINUM
26,True,1,False,29,True,5,True,1,True,2,True,10,100,True,LA1_1140787656,PLATINUM
27,False,0,True,16,False,0,False,0,False,0,False,1,200,False,LA1_1140787656,PLATINUM
28,True,1,True,39,True,3,False,0,True,1,True,4,100,False,LA1_1140683199,PLATINUM
29,False,1,False,39,False,2,True,1,False,1,False,9,200,True,LA1_1140683199,PLATINUM
30,False,0,False,0,False,0,False,0,False,0,False,0,100,False,LA1_1136719000,PLATINUM
31,False,0,True,1,False,0,False,0,False,0,False,0,200,True,LA1_1136719000,PLATINUM
32,False,0,True,30,False,0,False,0,True,2,False,3,100,True,LA1_1136594351,PLATINUM
33,False,0,False,9,True,2,False,0,False,0,True,1,200,False,LA1_1136594351,PLATINUM
34,True,1,True,28,False,3,False,0,False,0,True,7,100,True,LA1_1133869623,PLATINUM
35,False,0,False,13,True,1,False,0,True,1,False,1,200,False,LA1_1133869623,PLATINUM
36,False,0,True,17,True,3,True,2,True,2,True,8,100,True,LA1_1131463524,PLATINUM
37,False,0,False,5,False,0,False,0,False,0,False,0,200,False,LA1_1131463524,PLATINUM
38,False,0,False,4,False,0,False,0,False,0,False,0,100,False,LA1_1131445838,PLATINUM
39,False,0,True,17,True,2,True,1,True,1,True,5,200,True,LA1_1131445838,PLATINUM
40,False,1,False,40,True,3,True,1,False,0,False,8,100,True,LA1_1162395399,PLATINUM
41,True,1,True,29,False,1,False,0,True,2,True,5,200,False,LA1_1162395399,PLATINUM
42,False,0,True,29,False,0,False,0,True,1,False,2,100,False,LA1_1160019954,PLATINUM
43,False,0,False,44,True,4,True,2,False,1,True,9,200,True,LA1_1160019954,PLATINUM
44,True,2,True,43,False,3,True,5,True,1,True,11,100,True,LA1_1160007465,PLATINUM
45,False,0,False,31,True,2,False,0,False,0,False,0,200,False,LA1_1160007465,PLATINUM
46,False,0,False,28,True,2,False,0,True,1,True,6,100,False,LA1_1160032484,PLATINUM
47,True,2,True,36,False,3,True,1,False,1,False,7,200,True,LA1_1160032484,PLATINUM
48,False,0,False,6,False,0,False,0,True,1,False,0,100,False,LA1_1160011113,PLATINUM
49,False,0,True,27,True,2,True,1,False,1,True,6,200,True,LA1_1160011113,PLATINUM
50,True,1,False,43,True,3,True,2,False,1,True,11,100,True,LA1_1159968060,PLATINUM
51,False,0,True,20,False,0,False,0,True,1,False,0,200,False,LA1_1159968060,PLATINUM
52,False,0,False,18,True,1,False,0,False,0,False,1,100,False,LA1_1159982728,PLATINUM
53,True,1,True,31,False,3,True,3,True,1,True,9,200,True,LA1_1159982728,PLATINUM
54,True,1,True,34,False,2,False,0,True,2,True,5,100,False,LA1_1159938402,PLATINUM
55,False,1,False,45,True,4,True,2,False,0,False,10,200,True,LA1_1159938402,PLATINUM
56,True,1,False,38,False,2,True,4,False,1,False,11,100,True,LA1_1159674970,PLATINUM
57,False,0,True,23,True,2,False,0,True,1,True,1,200,False,LA1_1159674970,PLATINUM
58,False,1,False,65,True,4,True,2,False,1,False,8,100,True,LA1_1159652157,PLATINUM
59,True,2,True,55,False,3,False,2,True,1,True,8,200,False,LA1_1159652157,PLATINUM
60,True,1,True,20,True,3,False,0,False,1,False,5,100,True,LA1_1159434379,PLATINUM
61,False,0,False,11,False,1,False,0,True,1,True,4,200,False,LA1_1159434379,PLATINUM
62,False,0,False,17,False,0,False,0,False,0,False,0,100,False,LA1_1159430825,PLATINUM
63,True,2,True,23,True,4,True,3,True,1,True,11,200,True,LA1_1159430825,PLATINUM
64,False,0,True,17,True,3,False,0,False,1,True,4,100,True,LA1_1159398326,PLATINUM
65,False,0,False,4,False,0,False,0,True,1,False,0,200,False,LA1_1159398326,PLATINUM
66,True,1,True,41,True,3,True,3,True,1,True,11,100,True,LA1_1159395020,PLATINUM
67,False,0,False,23,False,0,False,0,False,0,False,0,200,False,LA1_1159395020,PLATINUM
68,False,0,False,31,True,2,True,2,False,1,True,9,100,True,LA1_1159363411,PLATINUM
69,False,0,True,8,False,0,False,0,True,1,False,2,200,False,LA1_1159363411,PLATINUM
70,True,1,True,36,True,3,True,2,True,1,True,10,100,True,LA1_1159370019,PLATINUM
71,False,0,False,13,False,1,False,0,False,1,False,4,200,False,LA1_1159370019,PLATINUM
72,True,1,False,37,True,2,True,1,False,0,True,7,100,False,LA1_1159355829,PLATINUM
73,False,0,True,46,False,2,False,1,True,1,False,9,200,True,LA1_1159355829,PLATINUM
74,False,0,True,30,False,1,True,1,True,2,True,6,100,False,LA1_1158987129,PLATINUM
75,True,2,False,55,True,4,False,1,False,0,False,8,200,True,LA1_1158987129,PLATINUM
76,False,0,False,54,False,2,True,1,False,1,True,7,100,False,LA1_1158992354,PLATINUM
77,True,1,True,55,True,3,False,2,True,1,False,9,200,True,LA1_1158992354,PLATINUM
78,False,0,False,65,True,6,False,2,False,1,False,10,100,True,LA1_1158776654,PLATINUM
79,True,3,True,52,False,1,True,3,True,1,True,7,200,False,LA1_1158776654,PLATINUM
80,True,2,True,45,False,2,False,0,False,0,True,4,100,False,LA1_1171972327,PLATINUM
81,False,0,False,50,True,3,True,2,True,2,False,9,200,True,LA1_1171972327,PLATINUM
82,True,1,True,38,False,2,True,5,True,2,True,11,100,True,LA1_1171910018,PLATINUM
83,False,0,False,18,True,1,False,0,False,0,False,0,200,False,LA1_1171910018,PLATINUM
84,False,0,True,34,False,3,True,2,False,1,False,8,100,True,LA1_1171705858,PLATINUM
85,False,0,False,16,True,1,False,0,True,1,True,3,200,False,LA1_1171705858,PLATINUM
86,False,0,False,30,False,1,False,0,True,2,True,4,100,False,LA1_1171673008,PLATINUM
87,True,1,True,56,True,3,True,2,False,0,False,9,200,True,LA1_1171673008,PLATINUM
88,True,1,True,32,True,3,True,2,True,1,True,8,100,True,LA1_1171469277,PLATINUM
